TIME,dpStatusHTTPMeanTransactionTime2serviceClass,dpStatusHTTPMeanTransactionTime2proxy,dpStatusHTTPMeanTransactionTime2tenSeconds,dpStatusHTTPMeanTransactionTime2oneMinute,dpStatusHTTPMeanTransactionTime2tenMinutes,dpStatusHTTPMeanTransactionTime2oneHour,dpStatusHTTPMeanTransactionTime2oneDay
1580217271.430232,multiProtocolGateway,customDomains,119,80,91,99,95
1580217271.430232,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580217271.430232,multiProtocolGateway,mbaas_uri_to_host,110,120,125,133,153
1580217271.430232,multiProtocolGateway,stats,0,0,0,0,0
1580217872.009782,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,110
1580217872.009782,multiProtocolGateway,customDomains,85,87,89,97,95
1580217872.009782,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580217872.009782,multiProtocolGateway,mbaas_uri_to_host,135,128,145,135,153
1580217872.009782,multiProtocolGateway,stats,0,0,0,0,0
1580218472.567236,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,110
1580218472.567236,multiProtocolGateway,customDomains,62,97,94,97,95
1580218472.567236,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580218472.567236,multiProtocolGateway,mbaas_uri_to_host,73,135,169,140,153
1580218472.567236,multiProtocolGateway,stats,0,0,0,0,0
1580219073.096136,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,110
1580219073.096136,multiProtocolGateway,customDomains,88,107,96,96,95
1580219073.096136,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580219073.096136,multiProtocolGateway,mbaas_uri_to_host,122,154,154,142,153
1580219073.096136,multiProtocolGateway,stats,0,0,0,0,0
1580219673.623391,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,110
1580219673.623391,multiProtocolGateway,customDomains,93,108,103,97,95
1580219673.623391,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580219673.623391,multiProtocolGateway,mbaas_uri_to_host,122,113,158,147,153
1580219673.623391,multiProtocolGateway,stats,0,0,0,0,0
1580220274.284625,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,110
1580220274.284625,multiProtocolGateway,customDomains,112,89,102,96,95
1580220274.284625,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580220274.284625,multiProtocolGateway,mbaas_uri_to_host,426,174,136,149,153
1580220274.284625,multiProtocolGateway,stats,0,0,0,0,0
1580220874.808873,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,110
1580220874.808873,multiProtocolGateway,customDomains,62,94,96,96,95
1580220874.808873,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580220874.808873,multiProtocolGateway,mbaas_uri_to_host,103,111,137,151,153
1580220874.808873,multiProtocolGateway,stats,0,0,0,0,0
1580221475.38408,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,110
1580221475.38408,multiProtocolGateway,customDomains,109,111,97,98,95
1580221475.38408,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580221475.38408,multiProtocolGateway,mbaas_uri_to_host,146,122,128,148,153
1580221475.38408,multiProtocolGateway,stats,0,0,0,0,0
1580222076.016283,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,110
1580222076.016283,multiProtocolGateway,customDomains,84,86,101,99,95
1580222076.016283,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580222076.016283,multiProtocolGateway,mbaas_uri_to_host,147,131,127,143,153
1580222076.016283,multiProtocolGateway,stats,0,0,0,0,0
1580222676.622616,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,110
1580222676.622616,multiProtocolGateway,customDomains,136,95,103,101,95
1580222676.622616,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580222676.622616,multiProtocolGateway,mbaas_uri_to_host,119,137,146,142,153
1580222676.622616,multiProtocolGateway,stats,0,0,0,0,0
1580223277.217916,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,110
1580223277.217916,multiProtocolGateway,customDomains,134,113,102,100,95
1580223277.217916,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580223277.217916,multiProtocolGateway,mbaas_uri_to_host,116,119,139,137,153
1580223277.217916,multiProtocolGateway,stats,0,0,0,0,0
1580223877.759377,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,110
1580223877.759377,multiProtocolGateway,customDomains,99,127,108,100,95
1580223877.759377,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580223877.759377,multiProtocolGateway,mbaas_uri_to_host,84,118,142,138,153
1580223877.759377,multiProtocolGateway,stats,0,0,0,0,0
1580224478.389106,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,110
1580224478.389106,multiProtocolGateway,customDomains,151,120,108,103,95
1580224478.389106,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580224478.389106,multiProtocolGateway,mbaas_uri_to_host,129,138,138,137,153
1580224478.389106,multiProtocolGateway,stats,0,0,0,0,0
1580225078.928609,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,110
1580225078.928609,multiProtocolGateway,customDomains,100,108,113,106,95
1580225078.928609,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580225078.928609,multiProtocolGateway,mbaas_uri_to_host,105,153,129,137,153
1580225078.928609,multiProtocolGateway,stats,0,0,0,0,0
1580225679.517129,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,110
1580225679.517129,multiProtocolGateway,customDomains,67,95,114,108,95
1580225679.517129,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580225679.517129,multiProtocolGateway,mbaas_uri_to_host,95,147,127,136,153
1580225679.517129,multiProtocolGateway,stats,0,0,0,0,0
1580226280.048187,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,110
1580226280.048187,multiProtocolGateway,customDomains,182,140,109,108,94
1580226280.048187,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580226280.048187,multiProtocolGateway,mbaas_uri_to_host,79,143,133,134,152
1580226280.048187,multiProtocolGateway,stats,0,0,0,0,0
1580226880.645876,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,110
1580226880.645876,multiProtocolGateway,customDomains,48,129,124,112,94
1580226880.645876,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580226880.645876,multiProtocolGateway,mbaas_uri_to_host,100,119,140,134,152
1580226880.645876,multiProtocolGateway,stats,0,0,0,0,0
1580227481.214867,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,110
1580227481.214867,multiProtocolGateway,customDomains,95,147,123,115,94
1580227481.214867,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580227481.214867,multiProtocolGateway,mbaas_uri_to_host,110,177,129,132,152
1580227481.214867,multiProtocolGateway,stats,0,0,0,0,0
1580228081.744823,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,110
1580228081.744823,multiProtocolGateway,customDomains,145,103,119,117,94
1580228081.744823,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580228081.744823,multiProtocolGateway,mbaas_uri_to_host,134,113,134,132,152
