TIME,dpStatusNetworkReceiveDataThroughputInterfaceType,dpStatusNetworkReceiveDataThroughputInterfaceName,dpStatusNetworkReceiveDataThroughputTenSecondsBits,dpStatusNetworkReceiveDataThroughputOneMinuteBits,dpStatusNetworkReceiveDataThroughputTenMinutesBits,dpStatusNetworkReceiveDataThroughputOneHourBits,dpStatusNetworkReceiveDataThroughputOneDayBits
1579829823.105334,ethernet,eth3,0,0,0,0,0
1579830423.622912,ethernet,eth0,8660,3807,4145,3193,66928
1579830423.622912,ethernet,eth0-vip,0,0,0,0,0
1579830423.622912,ethernet,eth1,10882,10498,11255,17016,75600
1579830423.622912,ethernet,eth1-vip,0,0,0,0,0
1579830423.622912,ethernet,eth2,12,12,12,12,12
1579830423.622912,ethernet,eth3,0,0,0,0,0
1579831024.11086,ethernet,eth0,3402,2927,3702,3428,66928
1579831024.11086,ethernet,eth0-vip,0,0,0,0,0
1579831024.11086,ethernet,eth1,11027,10784,10747,17771,75600
1579831024.11086,ethernet,eth1-vip,0,0,0,0,0
1579831024.11086,ethernet,eth2,12,12,12,12,12
1579831024.11086,ethernet,eth3,0,0,0,0,0
1579831624.600587,ethernet,eth0,8710,4530,3924,3544,66441
1579831624.600587,ethernet,eth0-vip,0,0,0,0,0
1579831624.600587,ethernet,eth1,10451,11132,10605,18538,75621
1579831624.600587,ethernet,eth1-vip,0,0,0,0,0
1579831624.600587,ethernet,eth2,12,12,12,12,12
1579831624.600587,ethernet,eth3,0,0,0,0,0
1579832225.042501,ethernet,eth0,1943,6497,6720,3663,66441
1579832225.042501,ethernet,eth0-vip,0,0,0,0,0
1579832225.042501,ethernet,eth1,6451,6660,8155,19373,75621
1579832225.042501,ethernet,eth1-vip,0,0,0,0,0
1579832225.042501,ethernet,eth2,12,12,12,12,12
1579832225.042501,ethernet,eth3,0,0,0,0,0
1579832825.499034,ethernet,eth0,10244,7396,6744,4370,66441
1579832825.499034,ethernet,eth0-vip,0,0,0,0,0
1579832825.499034,ethernet,eth1,7285,7114,6978,19761,75621
1579832825.499034,ethernet,eth1-vip,0,0,0,0,0
1579832825.499034,ethernet,eth2,12,12,12,12,12
1579832825.499034,ethernet,eth3,0,0,0,0,0
1579833425.976816,ethernet,eth0,7208,6209,5888,4964,66441
1579833425.976816,ethernet,eth0-vip,0,0,0,0,0
1579833425.976816,ethernet,eth1,5171,5309,4848,19070,75621
1579833425.976816,ethernet,eth1-vip,0,0,0,0,0
1579833425.976816,ethernet,eth2,12,12,12,12,12
1579833425.976816,ethernet,eth3,0,0,0,0,0
1579834026.47782,ethernet,eth0,12184,7413,62112,5208,66441
1579834026.47782,ethernet,eth0-vip,0,0,0,0,0
1579834026.47782,ethernet,eth1,5380,5303,60953,8658,75621
1579834026.47782,ethernet,eth1-vip,0,0,0,0,0
1579834026.47782,ethernet,eth2,12,12,12,12,12
1579834026.47782,ethernet,eth3,0,0,0,0,0
1579834626.987165,ethernet,eth0,7758,6208,6210,14823,66441
1579834626.987165,ethernet,eth0-vip,0,0,0,0,0
1579834626.987165,ethernet,eth1,5360,5243,5035,16944,75621
1579834626.987165,ethernet,eth1-vip,0,0,0,0,0
1579834626.987165,ethernet,eth2,12,12,12,12,12
1579834626.987165,ethernet,eth3,0,0,0,0,0
1579835227.454084,ethernet,eth0,1958,5142,6953,15289,66947
1579835227.454084,ethernet,eth0-vip,0,0,0,0,0
1579835227.454084,ethernet,eth1,5381,5615,5260,16004,75988
1579835227.454084,ethernet,eth1-vip,0,0,0,0,0
1579835227.454084,ethernet,eth2,12,12,12,12,12
1579835227.454084,ethernet,eth3,0,0,0,0,0
1579835827.944674,ethernet,eth0,8306,6857,6827,15812,66947
1579835827.944674,ethernet,eth0-vip,0,0,0,0,0
1579835827.944674,ethernet,eth1,6080,5888,5517,15126,75988
1579835827.944674,ethernet,eth1-vip,0,0,0,0,0
1579835827.944674,ethernet,eth2,12,12,12,12,12
1579835827.944674,ethernet,eth3,0,0,0,0,0
1579836428.430728,ethernet,eth0,6924,4596,6093,15772,66947
1579836428.430728,ethernet,eth0-vip,0,0,0,0,0
1579836428.430728,ethernet,eth1,3823,3987,4223,14748,75988
1579836428.430728,ethernet,eth1-vip,0,0,0,0,0
1579836428.430728,ethernet,eth2,12,12,12,12,12
1579836428.430728,ethernet,eth3,0,0,0,0,0
1579837028.904151,ethernet,eth0,7579,6795,6430,15670,66947
1579837028.904151,ethernet,eth0-vip,0,0,0,0,0
1579837028.904151,ethernet,eth1,4076,3743,3946,14259,75988
1579837028.904151,ethernet,eth1-vip,0,0,0,0,0
1579837028.904151,ethernet,eth2,12,12,12,12,12
1579837028.904151,ethernet,eth3,0,0,0,0,0
1579837629.366603,ethernet,eth0,1945,4286,6909,15754,66947
1579837629.366603,ethernet,eth0-vip,0,0,0,0,0
1579837629.366603,ethernet,eth1,3764,3912,3820,14129,75988
