TIME,dpStatusHTTPMeanTransactionTime2serviceClass,dpStatusHTTPMeanTransactionTime2proxy,dpStatusHTTPMeanTransactionTime2tenSeconds,dpStatusHTTPMeanTransactionTime2oneMinute,dpStatusHTTPMeanTransactionTime2tenMinutes,dpStatusHTTPMeanTransactionTime2oneHour,dpStatusHTTPMeanTransactionTime2oneDay
1579020665.468316,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579020665.468316,multiProtocolGateway,customDomains,49,79,82,88,67
1579020665.468316,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579020665.468316,multiProtocolGateway,mbaas_uri_to_host,92,102,139,116,125
1579020665.468316,multiProtocolGateway,stats,0,0,0,0,0
1579021265.796799,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579021265.796799,multiProtocolGateway,customDomains,137,89,78,86,67
1579021265.796799,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579021265.796799,multiProtocolGateway,mbaas_uri_to_host,134,105,107,117,125
1579021265.796799,multiProtocolGateway,stats,0,0,0,0,0
1579021866.14811,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579021866.14811,multiProtocolGateway,customDomains,36,83,93,86,67
1579021866.14811,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579021866.14811,multiProtocolGateway,mbaas_uri_to_host,121,91,110,118,125
1579021866.14811,multiProtocolGateway,stats,0,0,0,0,0
1579022466.465065,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579022466.465065,multiProtocolGateway,customDomains,40,68,89,86,67
1579022466.465065,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579022466.465065,multiProtocolGateway,mbaas_uri_to_host,86,94,112,115,125
1579022466.465065,multiProtocolGateway,stats,0,0,0,0,0
1579023066.774836,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579023066.774836,multiProtocolGateway,customDomains,88,93,88,86,67
1579023066.774836,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579023066.774836,multiProtocolGateway,mbaas_uri_to_host,95,90,93,113,125
1579023066.774836,multiProtocolGateway,stats,0,0,0,0,0
1579023667.095821,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579023667.095821,multiProtocolGateway,customDomains,129,99,94,86,67
1579023667.095821,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579023667.095821,multiProtocolGateway,mbaas_uri_to_host,136,100,98,111,124
1579023667.095821,multiProtocolGateway,stats,0,0,0,0,0
1579024267.431212,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579024267.431212,multiProtocolGateway,customDomains,90,105,92,88,67
1579024267.431212,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579024267.431212,multiProtocolGateway,mbaas_uri_to_host,81,142,117,109,124
1579024267.431212,multiProtocolGateway,stats,0,0,0,0,0
1579024867.736174,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,84
1579024867.736174,multiProtocolGateway,customDomains,51,95,94,91,67
1579024867.736174,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579024867.736174,multiProtocolGateway,mbaas_uri_to_host,134,108,112,107,124
