TIME,dpStatusHTTPTransactions2serviceClass,dpStatusHTTPTransactions2proxy,dpStatusHTTPTransactions2tenSeconds,dpStatusHTTPTransactions2oneMinute,dpStatusHTTPTransactions2tenMinutes,dpStatusHTTPTransactions2oneHour,dpStatusHTTPTransactions2oneDay
1579022466.413991,multiProtocolGateway,mbaas_uri_to_host,40,51,60,56,48
1579022466.413991,multiProtocolGateway,stats,0,0,0,0,0
1579023066.7283,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579023066.7283,multiProtocolGateway,customDomains,508,510,520,541,500
1579023066.7283,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579023066.7283,multiProtocolGateway,mbaas_uri_to_host,42,49,47,55,48
1579023066.7283,multiProtocolGateway,stats,0,0,0,0,0
1579023667.058536,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579023667.058536,multiProtocolGateway,customDomains,497,494,496,533,499
1579023667.058536,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579023667.058536,multiProtocolGateway,mbaas_uri_to_host,39,46,49,55,48
1579023667.058536,multiProtocolGateway,stats,0,0,0,0,0
1579024267.395259,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579024267.395259,multiProtocolGateway,customDomains,495,483,478,521,499
1579024267.395259,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579024267.395259,multiProtocolGateway,mbaas_uri_to_host,38,48,58,54,48
1579024267.395259,multiProtocolGateway,stats,0,0,0,0,0
1579024867.692828,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579024867.692828,multiProtocolGateway,customDomains,461,440,462,508,499
1579024867.692828,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579024867.692828,multiProtocolGateway,mbaas_uri_to_host,42,50,48,53,48
1579024867.692828,multiProtocolGateway,stats,0,0,0,0,0
1579025468.026329,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579025468.026329,multiProtocolGateway,customDomains,476,446,459,497,499
1579025468.026329,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579025468.026329,multiProtocolGateway,mbaas_uri_to_host,84,51,48,52,48
1579025468.026329,multiProtocolGateway,stats,0,0,0,0,0
1579026068.334979,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579026068.334979,multiProtocolGateway,customDomains,485,452,443,483,499
1579026068.334979,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579026068.334979,multiProtocolGateway,mbaas_uri_to_host,62,47,59,52,48
1579026068.334979,multiProtocolGateway,stats,0,0,0,0,0
1579026668.66588,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579026668.66588,multiProtocolGateway,customDomains,457,415,439,471,499
1579026668.66588,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579026668.66588,multiProtocolGateway,mbaas_uri_to_host,55,42,46,51,48
1579026668.66588,multiProtocolGateway,stats,0,0,0,0,0
1579027268.990892,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579027268.990892,multiProtocolGateway,customDomains,458,446,425,456,497
1579027268.990892,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579027268.990892,multiProtocolGateway,mbaas_uri_to_host,58,46,44,51,49
1579027268.990892,multiProtocolGateway,stats,0,0,0,0,0
1579027869.325317,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579027869.325317,multiProtocolGateway,customDomains,430,403,424,448,497
