TIME,dpStatusHTTPTransactions2serviceClass,dpStatusHTTPTransactions2proxy,dpStatusHTTPTransactions2tenSeconds,dpStatusHTTPTransactions2oneMinute,dpStatusHTTPTransactions2tenMinutes,dpStatusHTTPTransactions2oneHour,dpStatusHTTPTransactions2oneDay
1579846035.819516,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579846035.819516,multiProtocolGateway,customDomains,268,227,222,180,460
1579846035.819516,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579846035.819516,multiProtocolGateway,mbaas_uri_to_host,35,50,45,48,47
1579846035.819516,multiProtocolGateway,stats,0,0,0,0,0
1579846636.314373,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579846636.314373,multiProtocolGateway,customDomains,301,255,243,194,460
1579846636.314373,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579846636.314373,multiProtocolGateway,mbaas_uri_to_host,51,38,42,47,47
1579846636.314373,multiProtocolGateway,stats,0,0,0,0,0
1579847236.788716,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579847236.788716,multiProtocolGateway,customDomains,328,299,275,214,460
1579847236.788716,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579847236.788716,multiProtocolGateway,mbaas_uri_to_host,32,35,41,46,47
1579847236.788716,multiProtocolGateway,stats,0,0,0,0,0
1579847837.263191,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579847837.263191,multiProtocolGateway,customDomains,323,327,300,237,461
1579847837.263191,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579847837.263191,multiProtocolGateway,mbaas_uri_to_host,45,37,59,45,47
1579847837.263191,multiProtocolGateway,stats,0,0,0,0,0
1579848437.773766,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579848437.773766,multiProtocolGateway,customDomains,359,376,332,262,461
1579848437.773766,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579848437.773766,multiProtocolGateway,mbaas_uri_to_host,54,45,40,45,47
1579848437.773766,multiProtocolGateway,stats,0,0,0,0,0
1579849038.270615,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579849038.270615,multiProtocolGateway,customDomains,525,537,428,300,461
1579849038.270615,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579849038.270615,multiProtocolGateway,mbaas_uri_to_host,39,39,38,44,47
1579849038.270615,multiProtocolGateway,stats,0,0,0,0,0
1579849638.89625,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579849638.89625,multiProtocolGateway,customDomains,847,817,661,373,461
1579849638.89625,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579849638.89625,multiProtocolGateway,mbaas_uri_to_host,59,42,42,44,47
1579849638.89625,multiProtocolGateway,stats,0,0,0,0,0
1579850239.384768,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579850239.384768,multiProtocolGateway,customDomains,939,895,876,479,461
1579850239.384768,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579850239.384768,multiProtocolGateway,mbaas_uri_to_host,45,41,43,44,47
1579850239.384768,multiProtocolGateway,stats,0,0,0,0,0
1579850839.902301,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579850839.902301,multiProtocolGateway,customDomains,899,946,937,589,461
1579850839.902301,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579850839.902301,multiProtocolGateway,mbaas_uri_to_host,51,47,44,44,47
1579850839.902301,multiProtocolGateway,stats,0,0,0,0,0
1579851440.482171,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579851440.482171,multiProtocolGateway,customDomains,912,909,918,692,466
1579851440.482171,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579851440.482171,multiProtocolGateway,mbaas_uri_to_host,37,43,71,46,48
1579851440.482171,multiProtocolGateway,stats,0,0,0,0,0
1579852040.992523,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579852040.992523,multiProtocolGateway,customDomains,897,915,903,787,466
1579852040.992523,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579852040.992523,multiProtocolGateway,mbaas_uri_to_host,38,40,42,47,48
1579852040.992523,multiProtocolGateway,stats,0,0,0,0,0
1579852641.494112,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579852641.494112,multiProtocolGateway,customDomains,835,866,899,866,466
1579852641.494112,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579852641.494112,multiProtocolGateway,mbaas_uri_to_host,38,43,45,48,48
1579852641.494112,multiProtocolGateway,stats,0,0,0,0,0
1579853241.995705,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579853241.995705,multiProtocolGateway,customDomains,994,971,916,908,466
1579853241.995705,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
