TIME,dpStatusNetworkTransmitDataThroughputInterfaceType,dpStatusNetworkTransmitDataThroughputInterfaceName,dpStatusNetworkTransmitDataThroughputTenSecondsBits,dpStatusNetworkTransmitDataThroughputOneMinuteBits,dpStatusNetworkTransmitDataThroughputTenMinutesBits,dpStatusNetworkTransmitDataThroughputOneHourBits,dpStatusNetworkTransmitDataThroughputOneDayBits
1579821416.106837,ethernet,eth3,0,0,0,0,0
1579822016.566726,ethernet,eth0,9196,8958,8089,18368,64043
1579822016.566726,ethernet,eth0-vip,0,0,0,0,0
1579822016.566726,ethernet,eth1,15672,12557,10919,30505,99374
1579822016.566726,ethernet,eth1-vip,0,0,0,0,0
1579822016.566726,ethernet,eth2,0,0,0,0,0
1579822016.566726,ethernet,eth3,0,0,0,0,0
1579822617.03215,ethernet,eth0,5700,5918,7259,17957,64043
1579822617.03215,ethernet,eth0-vip,0,0,0,0,0
1579822617.03215,ethernet,eth1,7101,7508,9937,20850,99374
1579822617.03215,ethernet,eth1-vip,0,0,0,0,0
1579822617.03215,ethernet,eth2,0,0,0,0,0
1579822617.03215,ethernet,eth3,0,0,0,0,0
1579823217.517712,ethernet,eth0,5566,563023,62247,8240,64043
1579823217.517712,ethernet,eth0-vip,0,0,0,0,0
1579823217.517712,ethernet,eth1,6683,7773,8576,20016,99374
1579823217.517712,ethernet,eth1-vip,0,0,0,0,0
1579823217.517712,ethernet,eth2,0,0,0,0,0
1579823217.517712,ethernet,eth3,0,0,0,0,0
1579823818.015758,ethernet,eth0,8072,8950,8092,17148,64043
1579823818.015758,ethernet,eth0-vip,0,0,0,0,0
1579823818.015758,ethernet,eth1,14835,11982,9890,19506,99374
1579823818.015758,ethernet,eth1-vip,0,0,0,0,0
1579823818.015758,ethernet,eth2,0,0,0,0,0
1579823818.015758,ethernet,eth3,0,0,0,0,0
1579824418.484208,ethernet,eth0,8194,8671,8880,16988,63957
1579824418.484208,ethernet,eth0-vip,0,0,0,0,0
1579824418.484208,ethernet,eth1,8953,10944,10614,19423,99123
1579824418.484208,ethernet,eth1-vip,0,0,0,0,0
1579824418.484208,ethernet,eth2,0,0,0,0,0
1579824418.484208,ethernet,eth3,0,0,0,0,0
1579825018.976905,ethernet,eth0,6071,7136,7370,17055,63957
1579825018.976905,ethernet,eth0-vip,0,0,0,0,0
1579825018.976905,ethernet,eth1,7405,10701,65610,19328,99123
1579825018.976905,ethernet,eth1-vip,0,0,0,0,0
1579825018.976905,ethernet,eth2,0,0,0,0,0
1579825018.976905,ethernet,eth3,0,0,0,0,0
1579825619.45817,ethernet,eth0,5080,5629,6271,16975,63957
1579825619.45817,ethernet,eth0-vip,0,0,0,0,0
1579825619.45817,ethernet,eth1,10380,8851,8138,19208,99123
1579825619.45817,ethernet,eth1-vip,0,0,0,0,0
1579825619.45817,ethernet,eth2,0,0,0,0,0
1579825619.45817,ethernet,eth3,0,0,0,0,0
1579826219.952907,ethernet,eth0,5311,5732,6108,16632,63957
