TIME,dpStatusNetworkTransmitDataThroughputInterfaceType,dpStatusNetworkTransmitDataThroughputInterfaceName,dpStatusNetworkTransmitDataThroughputTenSecondsBits,dpStatusNetworkTransmitDataThroughputOneMinuteBits,dpStatusNetworkTransmitDataThroughputTenMinutesBits,dpStatusNetworkTransmitDataThroughputOneHourBits,dpStatusNetworkTransmitDataThroughputOneDayBits
1580213067.911341,ethernet,eth1,71882,73555,125485,145270,71734
1580213067.911341,ethernet,eth1-vip,0,0,0,0,0
1580213067.911341,ethernet,eth2,0,0,0,0,0
1580213067.911341,ethernet,eth3,0,0,0,0,0
1580213668.484755,ethernet,eth0,81904,70994,126957,145556,68098
1580213668.484755,ethernet,eth0-vip,0,0,0,0,0
1580213668.484755,ethernet,eth1,66357,67274,125563,135550,71173
1580213668.484755,ethernet,eth1-vip,0,0,0,0,0
1580213668.484755,ethernet,eth2,0,0,0,0,0
1580213668.484755,ethernet,eth3,0,0,0,0,0
1580214268.996396,ethernet,eth0,73290,608919,128033,145302,68098
1580214268.996396,ethernet,eth0-vip,0,0,0,0,0
1580214268.996396,ethernet,eth1,68518,72959,122800,143920,71173
1580214268.996396,ethernet,eth1-vip,0,0,0,0,0
1580214268.996396,ethernet,eth2,0,0,0,0,0
1580214268.996396,ethernet,eth3,0,0,0,0,0
1580214869.439172,ethernet,eth0,69997,67652,179302,145425,68098
1580214869.439172,ethernet,eth0-vip,0,0,0,0,0
1580214869.439172,ethernet,eth1,69843,66300,176213,143583,71173
1580214869.439172,ethernet,eth1-vip,0,0,0,0,0
1580214869.439172,ethernet,eth2,0,0,0,0,0
1580214869.439172,ethernet,eth3,0,0,0,0,0
1580215469.909601,ethernet,eth0,66818,69730,124187,144862,68098
1580215469.909601,ethernet,eth0-vip,0,0,0,0,0
1580215469.909601,ethernet,eth1,64321,65607,120788,142446,71173
1580215469.909601,ethernet,eth1-vip,0,0,0,0,0
1580215469.909601,ethernet,eth2,0,0,0,0,0
1580215469.909601,ethernet,eth3,0,0,0,0,0
1580216070.510094,ethernet,eth0,55945,59425,122410,144279,68098
1580216070.510094,ethernet,eth0-vip,0,0,0,0,0
1580216070.510094,ethernet,eth1,56133,52798,119355,132574,71173
1580216070.510094,ethernet,eth1-vip,0,0,0,0,0
1580216070.510094,ethernet,eth2,0,0,0,0,0
1580216070.510094,ethernet,eth3,0,0,0,0,0
1580216671.031218,ethernet,eth0,58370,65597,117617,142791,68098
1580216671.031218,ethernet,eth0-vip,0,0,0,0,0
1580216671.031218,ethernet,eth1,58593,62893,114567,130763,71173
1580216671.031218,ethernet,eth1-vip,0,0,0,0,0
1580216671.031218,ethernet,eth2,0,0,0,0,0
1580216671.031218,ethernet,eth3,0,0,0,0,0
1580217271.568181,ethernet,eth0,66137,68108,172699,141402,68031
1580217271.568181,ethernet,eth0-vip,0,0,0,0,0
1580217271.568181,ethernet,eth1,63280,64296,116496,138171,71059
1580217271.568181,ethernet,eth1-vip,0,0,0,0,0
1580217271.568181,ethernet,eth2,0,0,0,0,0
1580217271.568181,ethernet,eth3,0,0,0,0,0
1580217872.135042,ethernet,eth0,58912,61396,117447,131155,68031
1580217872.135042,ethernet,eth0-vip,0,0,0,0,0
1580217872.135042,ethernet,eth1,63881,61943,114913,127788,71059
1580217872.135042,ethernet,eth1-vip,0,0,0,0,0
1580217872.135042,ethernet,eth2,0,0,0,0,0
1580217872.135042,ethernet,eth3,0,0,0,0,0
1580218472.685551,ethernet,eth0,61449,57106,114046,129214,68031
1580218472.685551,ethernet,eth0-vip,0,0,0,0,0
1580218472.685551,ethernet,eth1,3300766,600980,118776,127048,71059
1580218472.685551,ethernet,eth1-vip,0,0,0,0,0
1580218472.685551,ethernet,eth2,0,0,0,0,0
1580218472.685551,ethernet,eth3,0,0,0,0,0
1580219073.229764,ethernet,eth0,50979,54484,110775,127348,68031
1580219073.229764,ethernet,eth0-vip,0,0,0,0,0
1580219073.229764,ethernet,eth1,60557,598859,168493,126174,71059
1580219073.229764,ethernet,eth1-vip,0,0,0,0,0
1580219073.229764,ethernet,eth2,0,0,0,0,0
1580219073.229764,ethernet,eth3,0,0,0,0,0
1580219673.737975,ethernet,eth0,53447,55537,110483,116060,68031
1580219673.737975,ethernet,eth0-vip,0,0,0,0,0
1580219673.737975,ethernet,eth1,56403,56992,112914,124924,71059
1580219673.737975,ethernet,eth1-vip,0,0,0,0,0
1580219673.737975,ethernet,eth2,0,0,0,0,0
1580219673.737975,ethernet,eth3,0,0,0,0,0
1580220274.454715,ethernet,eth0,53567,53045,108607,114537,68031
1580220274.454715,ethernet,eth0-vip,0,0,0,0,0
1580220274.454715,ethernet,eth1,54853,53652,110838,124482,71059
1580220274.454715,ethernet,eth1-vip,0,0,0,0,0
1580220274.454715,ethernet,eth2,0,0,0,0,0
1580220274.454715,ethernet,eth3,0,0,0,0,0
1580220874.979836,ethernet,eth0,50969,48233,105907,112615,68087
1580220874.979836,ethernet,eth0-vip,0,0,0,0,0
1580220874.979836,ethernet,eth1,46870,588535,105736,114095,71041
1580220874.979836,ethernet,eth1-vip,0,0,0,0,0
1580220874.979836,ethernet,eth2,0,0,0,0,0
1580220874.979836,ethernet,eth3,0,0,0,0,0
1580221475.522218,ethernet,eth0,44503,45276,102016,110025,68087
