TIME,dpStatusHTTPTransactions2serviceClass,dpStatusHTTPTransactions2proxy,dpStatusHTTPTransactions2tenSeconds,dpStatusHTTPTransactions2oneMinute,dpStatusHTTPTransactions2tenMinutes,dpStatusHTTPTransactions2oneHour,dpStatusHTTPTransactions2oneDay
1580215469.690889,multiProtocolGateway,customDomains,941,934,941,972,499
1580215469.690889,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580215469.690889,multiProtocolGateway,mbaas_uri_to_host,45,34,36,45,43
1580215469.690889,multiProtocolGateway,stats,0,0,0,0,0
1580216070.318952,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580216070.318952,multiProtocolGateway,customDomains,711,773,909,959,499
1580216070.318952,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580216070.318952,multiProtocolGateway,mbaas_uri_to_host,41,37,47,42,43
1580216070.318952,multiProtocolGateway,stats,0,0,0,0,0
1580216670.827066,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580216670.827066,multiProtocolGateway,customDomains,887,853,830,933,499
1580216670.827066,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580216670.827066,multiProtocolGateway,mbaas_uri_to_host,149,137,56,44,43
1580216670.827066,multiProtocolGateway,stats,0,0,0,0,0
1580217271.380746,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580217271.380746,multiProtocolGateway,customDomains,855,857,851,911,499
1580217271.380746,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580217271.380746,multiProtocolGateway,mbaas_uri_to_host,35,35,39,45,43
1580217271.380746,multiProtocolGateway,stats,0,0,0,0,0
1580217871.957245,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580217871.957245,multiProtocolGateway,customDomains,846,806,819,888,499
1580217871.957245,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580217871.957245,multiProtocolGateway,mbaas_uri_to_host,39,34,33,41,43
1580217871.957245,multiProtocolGateway,stats,0,0,0,0,0
1580218472.528319,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580218472.528319,multiProtocolGateway,customDomains,792,761,795,860,499
1580218472.528319,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580218472.528319,multiProtocolGateway,mbaas_uri_to_host,58,35,37,41,43
1580218472.528319,multiProtocolGateway,stats,0,0,0,0,0
1580219073.027693,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1580219073.027693,multiProtocolGateway,customDomains,743,750,760,830,498
1580219073.027693,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1580219073.027693,multiProtocolGateway,mbaas_uri_to_host,29,28,38,42,43
1580219073.027693,multiProtocolGateway,stats,0,0,0,0,0
1580219673.57123,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
