TIME,dpStatusNetworkTransmitDataThroughputInterfaceType,dpStatusNetworkTransmitDataThroughputInterfaceName,dpStatusNetworkTransmitDataThroughputTenSecondsBits,dpStatusNetworkTransmitDataThroughputOneMinuteBits,dpStatusNetworkTransmitDataThroughputTenMinutesBits,dpStatusNetworkTransmitDataThroughputOneHourBits,dpStatusNetworkTransmitDataThroughputOneDayBits
1579021866.304789,ethernet,eth0-vip,0,0,0,0,0
1579021866.304789,ethernet,eth1,36412,40442,97671,92875,90580
1579021866.304789,ethernet,eth1-vip,0,0,0,0,0
1579021866.304789,ethernet,eth2,0,0,0,0,0
1579021866.304789,ethernet,eth3,0,0,0,0,0
1579022466.614106,ethernet,eth0,33501,583692,34952,73181,68097
1579022466.614106,ethernet,eth0-vip,0,0,0,0,0
1579022466.614106,ethernet,eth1,39684,35667,93488,91844,90580
1579022466.614106,ethernet,eth1-vip,0,0,0,0,0
1579022466.614106,ethernet,eth2,0,0,0,0,0
1579022466.614106,ethernet,eth3,0,0,0,0,0
1579023066.939351,ethernet,eth0,30304,33663,89773,72662,68097
1579023066.939351,ethernet,eth0-vip,0,0,0,0,0
1579023066.939351,ethernet,eth1,42257,47116,100196,81550,90580
1579023066.939351,ethernet,eth1-vip,0,0,0,0,0
1579023066.939351,ethernet,eth2,0,0,0,0,0
1579023066.939351,ethernet,eth3,0,0,0,0,0
1579023667.275663,ethernet,eth0,29823,31199,86764,62803,68097
1579023667.275663,ethernet,eth0-vip,0,0,0,0,0
1579023667.275663,ethernet,eth1,38949,585512,95096,89900,90580
1579023667.275663,ethernet,eth1-vip,0,0,0,0,0
1579023667.275663,ethernet,eth2,0,0,0,0,0
1579023667.275663,ethernet,eth3,0,0,0,0,0
1579024267.573853,ethernet,eth0,28942,30095,30252,70797,68097
1579024267.573853,ethernet,eth0-vip,0,0,0,0,0
1579024267.573853,ethernet,eth1,37529,40048,35856,88347,90580
1579024267.573853,ethernet,eth1-vip,0,0,0,0,0
1579024267.573853,ethernet,eth2,0,0,0,0,0
1579024267.573853,ethernet,eth3,0,0,0,0,0
1579024867.887826,ethernet,eth0,26171,27764,85350,69663,68009
1579024867.887826,ethernet,eth0-vip,0,0,0,0,0
1579024867.887826,ethernet,eth1,27893,31438,89933,86267,90386
1579024867.887826,ethernet,eth1-vip,0,0,0,0,0
1579024867.887826,ethernet,eth2,0,0,0,0,0
1579024867.887826,ethernet,eth3,0,0,0,0,0
1579025468.206837,ethernet,eth0,28102,27682,30507,59839,68009
1579025468.206837,ethernet,eth0-vip,0,0,0,0,0
1579025468.206837,ethernet,eth1,37794,31746,33983,75474,90386
1579025468.206837,ethernet,eth1-vip,0,0,0,0,0
1579025468.206837,ethernet,eth2,0,0,0,0,0
1579025468.206837,ethernet,eth3,0,0,0,0,0
1579026068.538122,ethernet,eth0,27503,30188,83014,68046,68009
1579026068.538122,ethernet,eth0-vip,0,0,0,0,0
1579026068.538122,ethernet,eth1,28860,29925,86726,74012,90386
1579026068.538122,ethernet,eth1-vip,0,0,0,0,0
1579026068.538122,ethernet,eth2,0,0,0,0,0
1579026068.538122,ethernet,eth3,0,0,0,0,0
1579026668.859519,ethernet,eth0,26558,24984,27029,57783,68009
1579026668.859519,ethernet,eth0-vip,0,0,0,0,0
1579026668.859519,ethernet,eth1,29002,28269,86083,72598,90386
1579026668.859519,ethernet,eth1-vip,0,0,0,0,0
1579026668.859519,ethernet,eth2,0,0,0,0,0
1579026668.859519,ethernet,eth3,0,0,0,0,0
1579027269.201556,ethernet,eth0,26400,27267,81156,65776,68009
1579027269.201556,ethernet,eth0-vip,0,0,0,0,0
1579027269.201556,ethernet,eth1,28362,30157,29778,70318,90386
1579027269.201556,ethernet,eth1-vip,0,0,0,0,0
1579027269.201556,ethernet,eth2,0,0,0,0,0
1579027269.201556,ethernet,eth3,0,0,0,0,0
1579027869.500057,ethernet,eth0,24696,24414,25700,55915,68009
1579027869.500057,ethernet,eth0-vip,0,0,0,0,0
1579027869.500057,ethernet,eth1,29809,27120,83741,59880,90386
1579027869.500057,ethernet,eth1-vip,0,0,0,0,0
1579027869.500057,ethernet,eth2,0,0,0,0,0
1579027869.500057,ethernet,eth3,0,0,0,0,0
1579028469.841544,ethernet,eth0,28577,25717,79900,45864,67537
1579028469.841544,ethernet,eth0-vip,0,0,0,0,0
1579028469.841544,ethernet,eth1,32140,27467,27991,58550,89775
1579028469.841544,ethernet,eth1-vip,0,0,0,0,0
1579028469.841544,ethernet,eth2,0,0,0,0,0
1579028469.841544,ethernet,eth3,0,0,0,0,0
1579029070.142754,ethernet,eth0,23369,23769,24779,54201,67537
1579029070.142754,ethernet,eth0-vip,0,0,0,0,0
1579029070.142754,ethernet,eth1,26424,27107,82365,57560,89775
1579029070.142754,ethernet,eth1-vip,0,0,0,0,0
1579029070.142754,ethernet,eth2,0,0,0,0,0
1579029070.142754,ethernet,eth3,0,0,0,0,0
1579029670.472371,ethernet,eth0,23167,24705,79511,44172,67537
1579029670.472371,ethernet,eth0-vip,0,0,0,0,0
1579029670.472371,ethernet,eth1,25338,25896,27844,56771,89775
1579029670.472371,ethernet,eth1-vip,0,0,0,0,0
1579029670.472371,ethernet,eth2,0,0,0,0,0
1579029670.472371,ethernet,eth3,0,0,0,0,0
1579030270.776266,ethernet,eth0,22669,24204,25721,52760,67537
1579030270.776266,ethernet,eth0-vip,0,0,0,0,0
1579030270.776266,ethernet,eth1,24234,25342,81638,55848,89775
1579030270.776266,ethernet,eth1-vip,0,0,0,0,0
1579030270.776266,ethernet,eth2,0,0,0,0,0
1579030270.776266,ethernet,eth3,0,0,0,0,0
1579030871.131786,ethernet,eth0,24806,24185,24115,43531,67537
1579030871.131786,ethernet,eth0-vip,0,0,0,0,0
1579030871.131786,ethernet,eth1,27187,28756,26888,55311,89775
1579030871.131786,ethernet,eth1-vip,0,0,0,0,0
1579030871.131786,ethernet,eth2,0,0,0,0,0
1579030871.131786,ethernet,eth3,0,0,0,0,0
1579031471.437281,ethernet,eth0,23827,22891,78347,52271,67537
1579031471.437281,ethernet,eth0-vip,0,0,0,0,0
1579031471.437281,ethernet,eth1,34002,583791,81832,54705,89775
1579031471.437281,ethernet,eth1-vip,0,0,0,0,0
1579031471.437281,ethernet,eth2,0,0,0,0,0
1579031471.437281,ethernet,eth3,0,0,0,0,0
1579032071.741092,ethernet,eth0,24143,22368,22323,51894,67894
1579032071.741092,ethernet,eth0-vip,0,0,0,0,0
1579032071.741092,ethernet,eth1,31562,33016,29741,54898,89640
1579032071.741092,ethernet,eth1-vip,0,0,0,0,0
1579032071.741092,ethernet,eth2,0,0,0,0,0
1579032071.741092,ethernet,eth3,0,0,0,0,0
1579032672.210532,ethernet,eth0,21747,21490,76373,42115,67894
1579032672.210532,ethernet,eth0-vip,0,0,0,0,0
1579032672.210532,ethernet,eth1,35817,30006,82990,55008,89640
1579032672.210532,ethernet,eth1-vip,0,0,0,0,0
1579032672.210532,ethernet,eth2,0,0,0,0,0
1579032672.210532,ethernet,eth3,0,0,0,0,0
1579033272.532023,ethernet,eth0,22701,21727,21306,50799,67894
1579033272.532023,ethernet,eth0-vip,0,0,0,0,0
1579033272.532023,ethernet,eth1,26781,28532,27583,55022,89640
