TIME,dpStatusHTTPMeanTransactionTime2serviceClass,dpStatusHTTPMeanTransactionTime2proxy,dpStatusHTTPMeanTransactionTime2tenSeconds,dpStatusHTTPMeanTransactionTime2oneMinute,dpStatusHTTPMeanTransactionTime2tenMinutes,dpStatusHTTPMeanTransactionTime2oneHour,dpStatusHTTPMeanTransactionTime2oneDay
1579824418.340352,multiProtocolGateway,mbaas_uri_to_host,105,86,113,130,199
1579824418.340352,multiProtocolGateway,stats,0,0,0,0,0
1579825018.827819,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579825018.827819,multiProtocolGateway,customDomains,39,50,57,55,71
1579825018.827819,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579825018.827819,multiProtocolGateway,mbaas_uri_to_host,84,105,107,129,199
1579825018.827819,multiProtocolGateway,stats,0,0,0,0,0
1579825619.316834,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579825619.316834,multiProtocolGateway,customDomains,101,74,60,56,71
1579825619.316834,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579825619.316834,multiProtocolGateway,mbaas_uri_to_host,105,103,103,130,199
1579825619.316834,multiProtocolGateway,stats,0,0,0,0,0
1579826219.793406,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579826219.793406,multiProtocolGateway,customDomains,117,70,83,58,71
1579826219.793406,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579826219.793406,multiProtocolGateway,mbaas_uri_to_host,86,93,190,130,199
1579826219.793406,multiProtocolGateway,stats,0,0,0,0,0
1579826820.284957,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579826820.284957,multiProtocolGateway,customDomains,134,53,59,60,71
1579826820.284957,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579826820.284957,multiProtocolGateway,mbaas_uri_to_host,85,138,122,132,199
1579826820.284957,multiProtocolGateway,stats,0,0,0,0,0
1579827420.89929,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579827420.89929,multiProtocolGateway,customDomains,59,83,64,63,71
1579827420.89929,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579827420.89929,multiProtocolGateway,mbaas_uri_to_host,103,127,104,129,199
1579827420.89929,multiProtocolGateway,stats,0,0,0,0,0
1579828021.395414,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579828021.395414,multiProtocolGateway,customDomains,39,68,54,63,71
1579828021.395414,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579828021.395414,multiProtocolGateway,mbaas_uri_to_host,108,201,110,129,199
1579828021.395414,multiProtocolGateway,stats,0,0,0,0,0
1579828621.87694,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579828621.87694,multiProtocolGateway,customDomains,77,69,60,64,71
1579828621.87694,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579828621.87694,multiProtocolGateway,mbaas_uri_to_host,108,159,110,129,199
1579828621.87694,multiProtocolGateway,stats,0,0,0,0,0
1579829222.320501,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,241
1579829222.320501,multiProtocolGateway,customDomains,46,53,54,62,71
1579829222.320501,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
