TIME,dpStatusNetworkReceiveDataThroughputInterfaceType,dpStatusNetworkReceiveDataThroughputInterfaceName,dpStatusNetworkReceiveDataThroughputTenSecondsBits,dpStatusNetworkReceiveDataThroughputOneMinuteBits,dpStatusNetworkReceiveDataThroughputTenMinutesBits,dpStatusNetworkReceiveDataThroughputOneHourBits,dpStatusNetworkReceiveDataThroughputOneDayBits
1581012965.731875,ethernet,eth2,12,12,12,12,12
1581012965.731875,ethernet,eth3,0,0,0,0,0
1581013566.252602,ethernet,eth0,17344,24957,79360,80755,65781
1581013566.252602,ethernet,eth0-vip,0,0,0,0,0
1581013566.252602,ethernet,eth1,43791,41885,98692,123601,89127
1581013566.252602,ethernet,eth1-vip,0,0,0,0,0
1581013566.252602,ethernet,eth2,12,12,12,12,12
1581013566.252602,ethernet,eth3,0,0,0,0,0
1581014166.786722,ethernet,eth0,26105,17797,22007,75533,65781
1581014166.786722,ethernet,eth0-vip,0,0,0,0,0
1581014166.786722,ethernet,eth1,43008,39831,95449,118916,89127
1581014166.786722,ethernet,eth1-vip,0,0,0,0,0
1581014166.786722,ethernet,eth2,12,12,12,12,12
1581014166.786722,ethernet,eth3,0,0,0,0,0
1581014767.292592,ethernet,eth0,19306,19338,19128,61232,65781
1581014767.292592,ethernet,eth0-vip,0,0,0,0,0
1581014767.292592,ethernet,eth1,36063,36263,92818,96574,89127
1581014767.292592,ethernet,eth1-vip,0,0,0,0,0
1581014767.292592,ethernet,eth2,12,12,12,12,12
1581014767.292592,ethernet,eth3,0,0,0,0,0
1581015367.875662,ethernet,eth0,33145,21656,74093,65867,65781
1581015367.875662,ethernet,eth0-vip,0,0,0,0,0
1581015367.875662,ethernet,eth1,42054,37321,37861,92161,89127
1581015367.875662,ethernet,eth1-vip,0,0,0,0,0
1581015367.875662,ethernet,eth2,12,12,12,12,12
1581015367.875662,ethernet,eth3,0,0,0,0,0
1581015968.43282,ethernet,eth0,15440,13490,17774,51807,66933
1581015968.43282,ethernet,eth0-vip,0,0,0,0,0
1581015968.43282,ethernet,eth1,35030,34505,90005,88274,90216
1581015968.43282,ethernet,eth1-vip,0,0,0,0,0
1581015968.43282,ethernet,eth2,13,12,12,12,12
